selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 8622146
cur(0), end(893), percent[0.0%], dist(0.36)
cur(1), end(893), percent[0.11%], dist(0.37)
cur(2), end(893), percent[0.22%], dist(0.37)
cur(3), end(893), percent[0.34%], dist(0.37)
cur(4), end(893), percent[0.45%], dist(0.37)
cur(5), end(893), percent[0.56%], dist(0.36)
cur(6), end(893), percent[0.67%], dist(0.37)
cur(7), end(893), percent[0.78%], dist(0.36)
cur(8), end(893), percent[0.9%], dist(0.37)
cur(9), end(893), percent[1.01%], dist(0.37)
cur(10), end(893), percent[1.12%], dist(0.37)
cur(11), end(893), percent[1.23%], dist(0.37)
cur(12), end(893), percent[1.34%], dist(0.37)
cur(13), end(893), percent[1.46%], dist(0.37)
cur(14), end(893), percent[1.57%], dist(0.37)
cur(15), end(893), percent[1.68%], dist(0.37)
cur(16), end(893), percent[1.79%], dist(0.37)
cur(17), end(893), percent[1.9%], dist(0.37)
cur(18), end(893), percent[2.02%], dist(0.37)
cur(19), end(893), percent[2.13%], dist(0.37)
cur(20), end(893), percent[2.24%], dist(0.37)
cur(21), end(893), percent[2.35%], dist(0.37)
cur(22), end(893), percent[2.46%], dist(0.37)
cur(23), end(893), percent[2.58%], dist(0.37)
cur(24), end(893), percent[2.69%], dist(0.37)
cur(25), end(893), percent[2.8%], dist(0.37)
cur(26), end(893), percent[2.91%], dist(0.37)
cur(27), end(893), percent[3.02%], dist(0.37)
cur(28), end(893), percent[3.14%], dist(0.37)
cur(29), end(893), percent[3.25%], dist(0.37)
cur(30), end(893), percent[3.36%], dist(0.37)
cur(31), end(893), percent[3.47%], dist(0.37)
cur(32), end(893), percent[3.58%], dist(0.37)
cur(33), end(893), percent[3.7%], dist(0.37)
cur(34), end(893), percent[3.81%], dist(0.37)
cur(35), end(893), percent[3.92%], dist(0.37)
cur(36), end(893), percent[4.03%], dist(0.36)
cur(37), end(893), percent[4.14%], dist(0.36)
cur(38), end(893), percent[4.26%], dist(0.36)
cur(39), end(893), percent[4.37%], dist(0.36)
cur(40), end(893), percent[4.48%], dist(0.36)
cur(41), end(893), percent[4.59%], dist(0.36)
cur(42), end(893), percent[4.7%], dist(0.36)
